seed,pi_T0,pi_T1,pi_T2,pi_T3,rigid_it_pct,rigid_fac_pct,decl_it_pct,decl_fac_pct,delta_it_pp,delta_fac_pp,p95_rigid,p95_decl,p95_match,n_long_reassigned,n_short_reassigned
20260513,0.3485,0.3422,0.2966,0.0127,0.0000,0.0000,-0.0208,-0.4645,-0.0208,-0.4645,145.8195,145.8195,1,0,495
20260514,0.2404,0.5503,0.0945,0.1148,0.0000,0.0000,-0.0206,-0.5294,-0.0206,-0.5294,151.2749,151.2749,1,0,321
20260515,0.4031,0.1491,0.3389,0.1088,0.0000,0.0000,-0.0001,-0.0527,-0.0001,-0.0527,149.0162,149.0162,1,0,710
20260516,0.3193,0.3169,0.1236,0.2402,0.0000,0.0000,-0.0207,-0.4803,-0.0207,-0.4803,145.6811,145.6811,1,0,616
20260517,0.3320,0.3465,0.2088,0.1128,0.0000,0.0000,-0.0205,-0.8705,-0.0205,-0.8705,144.6271,144.6271,1,0,536
20260518,0.4324,0.3127,0.2280,0.0269,0.0000,0.0000,-0.0207,-0.8225,-0.0207,-0.8225,143.0819,143.0819,1,0,409
20260519,0.1362,0.5004,0.2399,0.1235,0.0000,0.0000,-0.0001,-0.0526,-0.0001,-0.0526,144.6271,144.6271,1,0,635
20260520,0.2367,0.4050,0.1932,0.1651,0.0000,0.0000,-0.0207,-0.5314,-0.0207,-0.5314,148.5703,148.5703,1,0,610
20260521,0.3035,0.4136,0.1384,0.1446,0.0000,0.0000,-0.0206,-0.8243,-0.0206,-0.8243,149.0162,149.0162,1,0,441
20260522,0.2429,0.4263,0.2085,0.1223,0.0000,0.0000,-0.0206,-0.5298,-0.0206,-0.5298,149.7963,149.7963,1,0,555
20260523,0.1385,0.2111,0.4025,0.2478,0.0000,0.0000,-0.0206,-0.5289,-0.0206,-0.5289,147.0844,147.0844,1,0,1111
20260524,0.3287,0.3930,0.1141,0.1641,0.0000,0.0000,-0.0206,-0.5297,-0.0206,-0.5297,149.0162,149.0162,1,0,429
20260525,0.3384,0.5376,0.0519,0.0721,0.0000,0.0000,-0.0208,-0.4839,-0.0208,-0.4839,147.7009,147.7009,1,0,210
20260526,0.3069,0.1937,0.1211,0.3784,0.0000,0.0000,-0.0206,-0.5303,-0.0206,-0.5303,149.7963,149.7963,1,0,812
20260527,0.2965,0.2862,0.2200,0.1973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,147.4438,147.4438,1,0,661
20260528,0.3675,0.3407,0.2424,0.0494,0.0000,0.0000,-0.0001,-0.0526,-0.0001,-0.0526,147.9028,147.9028,1,0,455
20260529,0.2339,0.2562,0.1479,0.3619,0.0000,0.0000,-0.0207,-0.4633,-0.0207,-0.4633,148.5703,148.5703,1,0,830
20260530,0.3244,0.3252,0.2198,0.1305,0.0000,0.0000,-0.0001,-0.0528,-0.0001,-0.0528,149.0162,149.0162,1,0,587
20260531,0.0920,0.3607,0.1921,0.3553,0.0000,0.0000,-0.0001,-0.0528,-0.0001,-0.0528,149.0162,149.0162,1,0,871
20260532,0.2026,0.4642,0.2097,0.1236,0.0000,0.0000,-0.0207,-0.4639,-0.0207,-0.4639,149.7963,149.7963,1,0,497
20260533,0.2656,0.1440,0.4248,0.1657,0.0000,0.0000,-0.0001,-0.0374,-0.0001,-0.0374,149.0162,149.0162,1,0,976
20260534,0.2281,0.6150,0.0645,0.0924,0.0000,0.0000,-0.0205,-0.8712,-0.0205,-0.8712,147.0844,147.0844,1,0,249
20260535,0.1035,0.3732,0.3493,0.1739,0.0000,0.0000,-0.0206,-0.8216,-0.0206,-0.8216,149.7963,149.7963,1,0,898
20260536,0.3492,0.2088,0.2363,0.2056,0.0000,0.0000,-0.0206,-0.5291,-0.0206,-0.5291,144.6271,144.6271,1,0,726
20260537,0.2229,0.0921,0.5113,0.1736,0.0000,0.0000,-0.0001,-0.0527,-0.0001,-0.0527,145.6811,145.6811,1,0,1109
20260538,0.3597,0.4053,0.1030,0.1321,0.0000,0.0000,-0.0001,-0.0529,-0.0001,-0.0529,147.0844,147.0844,1,0,365
20260539,0.2802,0.3626,0.2214,0.1359,0.0000,0.0000,-0.0001,-0.0289,-0.0001,-0.0289,149.0162,149.0162,1,0,578
20260540,0.1209,0.3107,0.1564,0.4120,0.0000,0.0000,-0.0207,-0.8759,-0.0207,-0.8759,147.7009,147.7009,1,0,924
20260541,0.3140,0.3087,0.3423,0.0350,0.0000,0.0000,-0.0001,-0.0528,-0.0001,-0.0528,145.6811,145.6811,1,0,633
20260542,0.3501,0.2161,0.1365,0.2972,0.0000,0.0000,-0.0207,-0.4817,-0.0207,-0.4817,149.7963,149.7963,1,0,707
20260543,0.2434,0.3064,0.1361,0.3141,0.0000,0.0000,-0.0001,-0.0529,-0.0001,-0.0529,149.0162,149.0162,1,0,750
20260544,0.2785,0.3212,0.2056,0.1946,0.0000,0.0000,-0.0207,-0.4624,-0.0207,-0.4624,143.0819,143.0819,1,0,679
