country,season,layer,energy_kwh,ci_weighted_mean,cfe_canonical_pct,co2_g_facility,p95_slowdown,co2_reduction_pct_vs_fcfs
CH,Autumn,easy_fcfs,45.5428,32.5673,95.9291,1783.8068,1.0000,0.0000
CH,Autumn,fcfs,45.5428,32.5673,95.9291,1783.8068,1.0000,0.0000
CH,Autumn,fsla_M3,311.7068,32.4139,95.9483,12286.0014,57.6400,-588.7518
CH,Autumn,replay,45.5428,32.5673,95.9291,1783.8068,1.0000,0.0000
CH,Autumn,saf,45.5428,32.5673,95.9291,1783.8068,1.0000,0.0000
CH,Spring,easy_fcfs,45.5428,32.5673,95.9291,1783.8068,1.0000,0.0000
CH,Spring,fcfs,45.5428,32.5673,95.9291,1783.8068,1.0000,0.0000
CH,Spring,fsla_M3,311.7068,32.4139,95.9483,12286.0014,57.6400,-588.7518
CH,Spring,replay,45.5428,32.5673,95.9291,1783.8068,1.0000,0.0000
CH,Spring,saf,45.5428,32.5673,95.9291,1783.8068,1.0000,0.0000
CH,Summer,easy_fcfs,45.5428,30.9389,96.1326,1694.6165,1.0000,0.0000
CH,Summer,fcfs,45.5428,30.9389,96.1326,1694.6165,1.0000,0.0000
CH,Summer,fsla_M3,311.7068,32.4139,95.9483,12286.0014,57.6400,-625.0019
CH,Summer,replay,45.5428,30.9389,96.1326,1694.6165,1.0000,0.0000
CH,Summer,saf,45.5428,30.9389,96.1326,1694.6165,1.0000,0.0000
CH,Winter,easy_fcfs,45.5428,34.1956,95.7255,1872.9971,1.0000,0.0000
CH,Winter,fcfs,45.5428,34.1956,95.7255,1872.9971,1.0000,0.0000
CH,Winter,fsla_M3,311.7068,32.4139,95.9483,12286.0014,57.6400,-555.9541
CH,Winter,replay,45.5428,34.1956,95.7255,1872.9971,1.0000,0.0000
CH,Winter,saf,45.5428,34.1956,95.7255,1872.9971,1.0000,0.0000
DE,Autumn,easy_fcfs,45.5428,340.7519,57.4060,18741.8176,1.0000,0.0000
DE,Autumn,fcfs,45.5428,340.7519,57.4060,18741.8176,1.0000,0.0000
DE,Autumn,fsla_M3,311.7068,320.3010,59.9624,119658.1333,57.6400,-538.4553
DE,Autumn,replay,45.5428,340.7519,57.4060,18741.8176,1.0000,0.0000
DE,Autumn,saf,45.5428,340.7519,57.4060,18741.8176,1.0000,0.0000
DE,Spring,easy_fcfs,45.5428,324.5256,59.4343,17849.3501,1.0000,0.0000
DE,Spring,fcfs,45.5428,324.5256,59.4343,17849.3501,1.0000,0.0000
DE,Spring,fsla_M3,311.7068,320.3010,59.9624,119658.1333,57.6400,-570.3781
DE,Spring,replay,45.5428,324.5256,59.4343,17849.3501,1.0000,0.0000
DE,Spring,saf,45.5428,324.5256,59.4343,17849.3501,1.0000,0.0000
DE,Summer,easy_fcfs,45.5428,275.8468,65.5192,15171.9476,1.0000,0.0000
DE,Summer,fcfs,45.5428,275.8468,65.5192,15171.9476,1.0000,0.0000
DE,Summer,fsla_M3,311.7068,320.3010,59.9624,119658.1333,57.6400,-688.6801
DE,Summer,replay,45.5428,275.8468,65.5192,15171.9476,1.0000,0.0000
DE,Summer,saf,45.5428,275.8468,65.5192,15171.9476,1.0000,0.0000
DE,Winter,easy_fcfs,45.5428,382.9402,52.1325,21062.2331,1.0000,0.0000
DE,Winter,fcfs,45.5428,382.9402,52.1325,21062.2331,1.0000,0.0000
DE,Winter,fsla_M3,311.7068,320.3010,59.9624,119658.1333,57.6400,-468.1170
DE,Winter,replay,45.5428,382.9402,52.1325,21062.2331,1.0000,0.0000
DE,Winter,saf,45.5428,382.9402,52.1325,21062.2331,1.0000,0.0000
IT,Autumn,easy_fcfs,45.5428,296.3044,62.9619,16267.9431,1.0000,0.0000
IT,Autumn,fcfs,45.5428,296.3044,62.9619,16267.9431,1.0000,0.0000
IT,Autumn,fsla_M3,311.7068,279.5328,65.0584,105089.0546,57.6400,-545.9886
IT,Autumn,replay,45.5428,296.3044,62.9619,16267.9431,1.0000,0.0000
IT,Autumn,saf,45.5428,296.3044,62.9619,16267.9431,1.0000,0.0000
IT,Spring,easy_fcfs,45.5428,282.1947,64.7257,15493.2791,1.0000,0.0000
IT,Spring,fcfs,45.5428,282.1947,64.7257,15493.2791,1.0000,0.0000
IT,Spring,fsla_M3,311.7068,279.5328,65.0584,105089.0546,57.6400,-578.2880
IT,Spring,replay,45.5428,282.1947,64.7257,15493.2791,1.0000,0.0000
IT,Spring,saf,45.5428,282.1947,64.7257,15493.2791,1.0000,0.0000
IT,Summer,easy_fcfs,45.5428,239.8655,70.0168,13169.2873,1.0000,0.0000
IT,Summer,fcfs,45.5428,239.8655,70.0168,13169.2873,1.0000,0.0000
IT,Summer,fsla_M3,311.7068,279.5328,65.0584,105089.0546,57.6400,-697.9859
IT,Summer,replay,45.5428,239.8655,70.0168,13169.2873,1.0000,0.0000
IT,Summer,saf,45.5428,239.8655,70.0168,13169.2873,1.0000,0.0000
IT,Winter,easy_fcfs,45.5428,332.9897,58.3763,18282.0694,1.0000,0.0000
IT,Winter,fcfs,45.5428,332.9897,58.3763,18282.0694,1.0000,0.0000
IT,Winter,fsla_M3,311.7068,279.5328,65.0584,105089.0546,57.6400,-474.8203
IT,Winter,replay,45.5428,332.9897,58.3763,18282.0694,1.0000,0.0000
IT,Winter,saf,45.5428,332.9897,58.3763,18282.0694,1.0000,0.0000
