country,tier,energy_kwh,ci_weighted_mean,cfe_canonical_pct,co2_g_facility,p95_slowdown,cfe_lift_pp
CH,0,7343.8528,31.1141,96.1107,2562254.1287,600.6333,0.0000
CH,1,7323.5861,31.0355,96.1206,2616299.1035,600.6333,0.0098
CH,2,14269.2411,32.2352,95.9706,6936389.1679,1760.6167,-0.1401
CH,3,14303.1578,32.2175,95.9728,7021583.1328,1840.6111,-0.1379
CH,4,14269.2744,32.2352,95.9706,6941383.8180,1760.6167,-0.1401
CH,5,14269.2411,32.2352,95.9706,6936389.1679,1760.6167,-0.1401
DE,0,7343.8528,283.0266,64.6217,20896061.4793,600.6333,0.0000
DE,1,7323.5861,280.7720,64.9035,21196162.2838,600.6333,0.2818
DE,2,14269.2411,315.1452,60.6069,65857985.5035,1760.6167,-4.0148
DE,3,14303.1578,316.8948,60.3882,65869797.0612,1820.6167,-4.2335
DE,4,14269.3744,315.1593,60.6051,65278815.4777,1760.6167,-4.0166
DE,5,14269.2411,315.1452,60.6069,65857985.5035,1760.6167,-4.0148
FR,0,7343.8528,54.4309,93.1961,4425895.7470,600.6333,0.0000
FR,1,7323.5861,54.2573,93.2178,4515953.9364,600.6333,0.0217
FR,2,14269.2411,56.9059,92.8868,12199221.2412,1760.6167,-0.3094
FR,3,14303.1578,57.0406,92.8699,12201386.5575,1820.6167,-0.3262
FR,4,14269.3244,56.9062,92.8867,12167118.9431,1760.6167,-0.3094
FR,5,14269.2411,56.9059,92.8868,12199221.2412,1760.6167,-0.3094
IT,0,7343.8528,256.2470,67.9691,19910062.9988,600.6333,0.0000
IT,1,7323.5861,254.8385,68.1452,20260491.7547,600.6333,0.1761
IT,2,14269.2411,276.3160,65.4605,58491359.8479,1760.6167,-2.5086
IT,3,14303.1578,277.4090,65.3239,58501795.2002,1820.6167,-2.6453
IT,4,14269.3661,276.3233,65.4596,58068054.7471,1760.6167,-2.5095
IT,5,14269.2411,276.3160,65.4605,58491359.8479,1760.6167,-2.5086
PL,0,7343.8528,601.6372,24.7953,46065107.0642,600.6333,0.0000
PL,1,7323.5861,597.8953,25.2631,46833756.3916,600.6333,0.4677
PL,2,14269.2411,654.9509,18.1311,138111086.8293,1760.6167,-6.6642
PL,3,14303.1578,657.8547,17.7682,138135765.5609,1820.6167,-7.0272
PL,4,14269.3661,654.9704,18.1287,137147070.1939,1760.6167,-6.6666
PL,5,14269.2411,654.9509,18.1311,138111086.8293,1760.6167,-6.6642
SE,0,7343.8528,11.4828,98.5646,953433.8768,600.6333,0.0000
SE,1,7323.5861,11.4588,98.5676,974000.4798,600.6333,0.0030
SE,2,14269.2411,11.8255,98.5218,2550961.9298,1760.6167,-0.0428
SE,3,14303.1578,11.8442,98.5195,2551413.5787,1820.6167,-0.0452
SE,4,14269.2661,11.8255,98.5218,2555030.8014,1760.6167,-0.0428
SE,5,14269.2411,11.8255,98.5218,2550961.9298,1760.6167,-0.0428
